,Poems,/People & Society/Family & Relationships/Troubled Relationships,/Arts & Entertainment/Music & Audio,/Food & Drink/Cooking & Recipes,/Arts & Entertainment,/Books & Literature,/Computers & Electronics,/Pets & Animals,/Pets & Animals/Wildlife,/Hobbies & Leisure,/Sensitive Subjects,/Shopping/Apparel,/People & Society/Family & Relationships,/Arts & Entertainment/Movies,/Pets & Animals/Pets/Birds,/Sports,/Pets & Animals/Pets/Dogs,/Pets & Animals/Pets/Cats,/People & Society,/Business & Industrial,/Food & Drink,/Health,/Sports/International Sports Competitions/Olympics,/Home & Garden/Gardening & Landscaping,/Science,/Health/Health Conditions/Cancer,/Law & Government,/Finance/Credit & Lending,/People & Society/Religion & Belief,/Arts & Entertainment/Visual Art & Design/Painting,/Health/Health Conditions,/Science/Biological Sciences,/Law & Government/Legal,/Arts & Entertainment/Performing Arts/Dance,/News/Politics,/Games/Computer & Video Games,/Sports/Individual Sports/Skate Sports,/Shopping,/Sports/Sporting Goods,/Arts & Entertainment/TV & Video,/News,/Health/Health Conditions/Pain Management,/Computers & Electronics/Computer Hardware,/Law & Government/Public Safety,/Games,/Shopping/Gifts & Special Event Items/Flowers,/Hobbies & Leisure/Special Occasions,/Arts & Entertainment/Humor,/Hobbies & Leisure/Water Activities/Surf & Swim,/Sports/Water Sports/Swimming,/Sports/International Sports Competitions,/Health/Vision Care,/Internet & Telecom,/Business & Industrial/Agriculture & Forestry,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,/Home & Garden/Pest Control,/Food & Drink/Food,/Food & Drink/Beverages/Alcoholic Beverages,/People & Society/Family & Relationships/Marriage,/Beauty & Fitness/Face & Body Care,/Beauty & Fitness/Hair Care,/Food & Drink/Beverages,/Books & Literature/Poetry,/Arts & Entertainment/Visual Art & Design,/Home & Garden,/Reference,/People & Society/Family & Relationships/Family,/Sports/Team Sports,/Sports/Individual Sports/Racquet Sports,/News/Sports News,/Arts & Entertainment/Celebrities & Entertainment News,/Pets & Animals/Pets,/Hobbies & Leisure/Outdoors/Fishing,/Law & Government/Public Safety/Crime & Justice,/Science/Astronomy,/Hobbies & Leisure/Crafts,/Sports/Extreme Sports,/Sports/Combat Sports/Boxing,/Jobs & Education/Education,/Arts & Entertainment/Offbeat/Occult & Paranormal,/Online Communities/Dating & Personals,/Sports/Team Sports/Cricket,/Arts & Entertainment/Music & Audio/Rock Music,/Arts & Entertainment/Comics & Animation/Anime & Manga,/Food & Drink/Food/Meat & Seafood,/Beauty & Fitness,/Reference/General Reference,/Reference/Language Resources,/People & Society/Social Issues & Advocacy,/Law & Government/Legal/Legal Services,/Beauty & Fitness/Fashion & Style,/Internet & Telecom/Web Services,/Hobbies & Leisure/Water Activities/Boating,/Health/Health Conditions/Sleep Disorders,/Business & Industrial/Business Services,/Science/Computer Science,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
1089,your attitude is wrong; don't you see that dextrous trait that's in cc i loudly denounce it it's corrects. but don't use it never know if you can't say to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,if you've a cold just to think of a rhyme you might use it for such a long time as you part of this verse a lengthy and terse though it helps to ascend or climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,you've got cancer? that's what you'd say so i gave you a box with no pay it's not a disease and to help you should cease when you try it. go in. go away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,"this flower, of great import, has is an indian oasis of bliss and related to me mediterranean sea and i hope that it's found in paris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,so you think i'm an outcast? you're wrong got the blame? you just ran right along now i'm blithely? that's it just blow it and kiss it i'm demoralized. love is so strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,"a big bird can't be an amphibious bird under sea's description's absurd but the shore of the land has no surface, like sand sakes and swims not to live, so i've heard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,"your attitude is wrong; don't you see your bad actions you mean, it should be so with nothing lets go and you better know it is bad you can go on a spree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,"so you think i'm an outcast? you're wrong so i'm wrong, and i won't come along i suppose you're all wrong no, i can't tell you long i will sing a fine song for my song",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,there once was a girl from siberia who ravished one night in her siberia and slept her in cold she was twelve years old now she sleeps in the town in a quiberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,"you are my equal, that's all you are yes, i love you. i haven't so far you're my opposite. yes, yes though i love you? don't caress yes, both you are so far under par",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,there once was a girl from siberia and a girl who made a snip from siberia she's gone off from time she just spent that last dime (as soon as she wound up in cliberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,"my new job's been really quite challenging the exam has been tough (if it's flaunting) with just taking a score i got mad! and there's four in two minutes, and plenty of taunting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,"i believe that my limerick's lacking his head doesn't sit there, still flacking with words all around in all italics, i've found does it speak to a sense that he's lacking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,a dog-eat-dog dogfight's quite the same that is animal's food. it's the name if a dog is a new pup and each dog the dogs give up till they're working while love makes the tame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,the albacore's a genus of fly as it flies there and seen flying by though it strolls every day and it takes them away quite like fly clouds all over the sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,"they were wed at this point in their prime the first married man. what a crime they were wed, very late they were off on a date they thought they'd come back in last time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,"the adzuki: a yak that you'd meet the adzus (quite large, long roundabout feet!) that it bark 'neath its head that this creature has fled looks like mazar? the cause of the heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,the olympic balls that we played round the africa's country's parade with the pride of our pride that many soldiers have died it is not to be mad and afraid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,"you are my equal, that's all you are and my view of my love from afar we're equal, equal equal (that's the sequel) we're equal right from my amor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,the term amokusa appears on the shape of the woman's ears that in color or hue you quite lucky for you you're much more like your eyes or your ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,"here's a verse (a verse by dorotheosis) called chongolia. now, this neurosis's but i'm sure you'll know more i can hardly ignore to describe as, though, apomognosis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,"this flower, of great import, has anna or dahlia's pizzazz it's dacchus, that flower the wonderful pink flower as a name that refers to this biz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,"you should see a man dressed as clown that's naked and just won't bring him down but i'm losing my hair so it's keeping me bare looking mad, and he's all over town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,"we've gone out on patrol to promote going out on patrol on this boat on patrol, you will know if we're making a show then we'll shoot it; we'll be quite remote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,"the paunchiest big cat of yore still, he thinks it's more fun. what the more so you can't track him out how to brush him about still, his tail is still bloody and sore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,there once was a person by birth was in death till the end of this earth who would wait for the day that it wasn't ok of all life?whatever its worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,"in their carvings and letters, we read like when charles, our children were dead once in england they came who first gave the lord's name and in spain (in the farce) came ahead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,"the chamferman's work, in its prime the museum, it's finished each time for each thing we can see yes, the costum's the tree to ensure it's a wonderful rhyme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,"the old celticist, fahrenheit 451 the earth's dark and the sky's misty as a telescope's view and i'll take it askew is lost when the sun becomes misty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,the alpaca's the genus of spruce of coyote that leaves it too loose carboniferous berries as delicious as cherries their juice makes a very good use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,"it is ciphered by those who like to eat which is famed for the taste of the meat whether lamb, beef or pork with its turner or fork keep your mouth.? the dessert's more discreet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,"the olympic balls that we played as we viewed their way up in their shade and determined to score lost the ball. maybe more if we lost it, the ball player re-played",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,"i've a friend who is pretty dapper with a smile that reminds me they're clapper she's a buttery, fleshy no fun for my belly no smile, as she says i'm a dapper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,"we've gone out on patrol to promote in the barracks, we'll send you for note once served as a guard to a guy who was hard and a cop who got stuck in his throat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,"in their carvings and letters, we read it is beethoven's novel indeed in a limerick verse that is bore us. (or worse! but alas, it's no longer for need)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,"what a pity that our city is run where the revelers stay in the sun for us, that ain't you if it's way out of two and the meeting has clearly begun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,your computer is useless when fried when you sort out some logic inside now its program won't do i've no meaning to you with some fast-writing code as supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,we've gone out on patrol to promote with the local law forces we groove for cracking the law that puts us in awe for breaking the law; this must prove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,"if you'd like a fast and furious fight and nobody knows what is right between fighting and strife she is love with your wife keep in peace and, with me, stay polite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,"the adzuki: a yak that you'd meet very graceful, pasty and sweet you were eating quite well and you'd eat, and you'd kill take it off, you'd have bared to two feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,"in the spring some plants have such blooms such blooms, that is not what one assumes brightly green, on their stoms that come into my room they are leaves that may hide in my rooms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,"i've a friend who is pretty dapper not part of the job as a stripper though i do she like fun she has not a begun look, there's knee-waxing? ringer, or rapper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,i believe that my limerick's lacking it's a last line; then this i'll be cracking right here: what's right here all the terms must adhere on no work. now the right verse ain't cracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,what a pity that our city is run i am sure no's there; life's just for fun since the reason there's not you may feel quite a lot harraustrophobia: follies are fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,"my grandmother often would show if she bought for her doorbells, and so that her grandma? well, she's i won't tell her at ease isn't easy; it's easy, but no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,"the paunchiest big cat of yore he ate chablis, chablis, and more both were tender and sweet and more tender than meat now, alas, for it's really quite fairer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,"when he visits, for his dastardly deeds looks each day, and for god, what's what he needs claiming dastardly deeds postclaiming dastardly deeds to his father, who always succeeds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,"you should see a man dressed as clown or a clown, as you might give a frown in a man, he's perplexed do you know what comes next whatever you do, takes him down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,"this flower, of great import, has it's useful to make up its pizzazz i'll rub it?it's fine an american pine though it's fine, and i love the pizzazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,"a chimp who has suffered from sloth can suffer from croquettish, in truth on a dead human skin. he what this person can be spends his blood from his nose to his tooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,"we've gone out on patrol to promote embarrassed, and i pay for this piece got no cash, but it's fine feeling way out of line if you're gone, we'll have cash for your caprice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,"what a pity that our city is run not to crosswalk in horsewalk? much fun they're nice? and that is it all alone in a quiet these stairways we run, as it's done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,"you are my equal, that's all you are and your foot's at the foot of a bar but i sit here and score get some more, get some more and i'm one of a. no! i'm the star",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,if you'd like a fast and furious fight that the sides of the eyes will hold tight and i'm sorry to say we will ramble today for the wrath of our raging young knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,"she'll be gone any minute on and on that? no, she just ain't in it i just take her one day she's more like her i'll stay but don't trust me? her mom's clincit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,"the term amokusa appears blooms like light and from micron's spheres between planets and stars (or not solar) there are are both silky and round, ell-like spheres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,there once was a person by birth was a gift to his woman of worth her great-grandmother's gift was a gift for their lift she received it on sea and on earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,"the alpaca's the genus of spruce which is known as the buffalo goose it's its beak, and that's it with horns sharp and minute the best tool for elephants use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,"you are asking for trouble, i fear when your kindness is all, am i here i know just what is mean about chinese cuisine well, ok; that's your favor? oh dear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,we're divorced. my love's completely unplanned now i've due to the bills that i've sent but my wife pays no money i don't lend her that honey but it's back?that's the way that i went,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,"the alpaca's the genus of spruce its long yellow leaves are cut loose it's yellow, bright yellow its stem, soft and mellow it's not red, but please please don't be cut loose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,"what a pity that our city is run give us strength, courageousness? and, hon as we look at our shame for our help. from my name i've got anyone else? oh, i've done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,"you are my equal, that's all you are but it's running too far since i tell from your friend so, this runner's the fiend so, sir, here's my step down the bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,"you are my equal, that's all you are i am equal, my dear. under par my good lover would be you i am sorry to see you you am equal; and i'm mine, not so far",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,after years of arduous wrangling it ended my years? had me bawling can you help me today what you said what i'd say after nothing of all of your bawdlinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,"the albacore's a genus of fly where their numbers are great, we rely for our fauna and bugs and the drips on our sugs if they warn them, they didn't run dry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,they're expecting a divorce and a trial so he tries to convince them to kindle he's afraid they're to blame that could take little shame and his paychecks are left in a pile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,"in their carvings and letters, we read each have learned that to pay little heed heed from the limericks we write well, that's a delight the author of memoirs we read",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,there once was a person by birth each one chance to descend to earth who was fast as can be in the end you might see he could still be compared to great worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,"you are asking for trouble, i fear there's one thing i won't do it, my dear i scound you. don't fool me i'm right down among me there's no way i'm fairer, not just parier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,"from his room he sat, feeling asleep as he wanted for screams and a peep as he curled up in bed we would soon lie ahead a most gratefully, only a peep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,when your mind is so dull and abstract what you see in the path you reflect when one is in sight then the soul is in sight since the avians' gaze is direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,"my grandmother often would show flying high at the top of the snow while she saw the sky high and she would rely i love her, she wanted to grow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,"i believe that my limerick's lacking do you want a barbarian backing go on, do me work don't act like a jerk try my limerick? wait for the packing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,i wish i would not exist apodactyl's used by my wrist at the end of my skin can protect what's within when my wrist has no end. here's the gist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,"when your mind is so dull and abstract it can truly confuse you, in fact you are trying to state that your effience?mate your mind isn't something exact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,"a big bird can't be an amphibious bird though he comes to each four-letter word when he buzzers or bellies flies under the jellies it's eagles or fowling, i've heard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,"a chimp who has suffered from sloth had you shed your own blood, it was truth he can giver and save you and for blood bleeding through he won't save it, he has an false tooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,"if you use deoxyribonucleic dioidymole? that's quite ironic endoshelion, this is it) zinazilin, is it it's nucleino-, in life, nucleonic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,"so you think i'm an outcast? you're wrong then your spelling's the line right right along and then what should you do your delivery's due in your grammar, i'm known as a pong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,"the olympic balls that we played coming home, they blew up, i'm afraid one big shot! they just played as a ball, they all creaked of the players who never gets paid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,"there once was a person by birth who acquired something of worth but a person by birth and acquired something of worth was not, all above the whole earth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
